Region,States,Max.Demand Met during the day(MW),Shortage during maximum Demand(MW),Energy Met (MU),date
NER,Mizoram,77,1.0,1.2,2015-01-01
WR,DD,214,0.0,4.8,2015-01-01
WR,Goa,383,0.0,7.3,2015-01-01
WR,Maharashtra,14837,57.0,315.0,2015-01-01
WR,MP,5740,0.0,109.8,2015-01-01
WR,Gujarat,11383,0.0,246.4,2015-01-01
WR,Chhattisgarh,3052,18.0,64.6,2015-01-01
WR,DNH,581,0.0,14.0,2015-01-01
NR,Chandigarh,224,0.0,3.8,2015-01-01
NR,HP,1367,0.0,25.1,2015-01-01
NR,Uttarakhand,1768,0.0,33.9,2015-01-01
NR,UP,9998,3645.0,244.0,2015-01-01
NR,Delhi,4009,0.0,67.6,2015-01-01
NR,Rajasthan,9810,0.0,204.9,2015-01-01
NR,Haryana,6025,0.0,116.8,2015-01-01
NR,J&K,1959,346.0,37.3,2015-01-01
NR,Punjab,5045,0.0,93.3,2015-01-01
WR,Essar steel,258,0.0,5.4,2015-01-01
SR,Andhra Pradesh,5963,0.0,131.5,2015-01-01
NER,Meghalaya,311,1.0,5.1,2015-01-01
NER,Manipur,136,2.0,2.6,2015-01-01
NER,Assam,1210,37.0,21.8,2015-01-01
NER,Arunachal Pradesh,103,2.0,1.8,2015-01-01
ER,Sikkim,89,0.0,1.8,2015-01-01
ER,West Bengal,5888,0.0,101.0,2015-01-01
ER,Odisha,3011,0.0,65.6,2015-01-01
ER,Jharkhand,1012,119.0,22.0,2015-01-01
ER,DVC,2243,0.0,51.8,2015-01-01
ER,Bihar,2679,0.0,52.2,2015-01-01
SR,Pondy,278,0.0,5.4,2015-01-01
SR,Tamil Nadu,10621,891.0,235.5,2015-01-01
SR,Kerala,3288,125.0,60.9,2015-01-01
SR,Karnataka,7914,300.0,166.1,2015-01-01
SR,Telangana,6173,300.0,136.9,2015-01-01
NER,Nagaland,116,3.0,2.4,2015-01-01
NER,Tripura,208,2.0,2.7,2015-01-01
NER,Tripura,205,1.0,3.1,2016-01-01
NER,Manipur,134,1.0,2.3,2016-01-01
WR,Maharashtra,18950,0.0,381.7,2016-01-01
WR,MP,9907,0.0,214.3,2016-01-01
WR,Gujarat,12228,0.0,261.4,2016-01-01
WR,Chhattisgarh,2992,0.0,69.2,2016-01-01
NR,Chandigarh,188,0.0,3.1,2016-01-01
NR,J&K,2242,560.0,46.7,2016-01-01
WR,Goa,377,0.0,7.6,2016-01-01
NR,HP,1250,5.0,22.3,2016-01-01
NR,UP,13251,0.0,282.3,2016-01-01
NR,Delhi,3482,0.0,56.3,2016-01-01
NR,Rajasthan,9206,0.0,199.7,2016-01-01
NR,Haryana,5763,0.0,105.4,2016-01-01
NR,Punjab,4900,0.0,91.1,2016-01-01
NER,Nagaland,112,6.0,1.9,2016-01-01
NR,Uttarakhand,1684,0.0,29.7,2016-01-01
NER,Meghalaya,253,0.0,4.5,2016-01-01
WR,DD,237,0.0,5.0,2016-01-01
WR,Essar steel,578,0.0,11.9,2016-01-01
NER,Assam,1340,10.0,20.5,2016-01-01
NER,Arunachal Pradesh,94,1.0,2.0,2016-01-01
ER,Sikkim,84,0.0,1.4,2016-01-01
ER,West Bengal,5826,0.0,95.0,2016-01-01
ER,Odisha,3913,0.0,75.0,2016-01-01
ER,Jharkhand,1110,0.0,23.0,2016-01-01
WR,DNH,653,0.0,14.2,2016-01-01
ER,DVC,2439,0.0,56.1,2016-01-01
SR,Pondy,259,0.0,6.0,2016-01-01
SR,Tamil Nadu,12352,0.0,257.1,2016-01-01
SR,Kerala,3010,0.0,56.2,2016-01-01
SR,Karnataka,9011,0.0,183.0,2016-01-01
SR,Telangana,7591,0.0,144.3,2016-01-01
SR,Andhra Pradesh,6700,0.0,141.8,2016-01-01
ER,Bihar,3611,250.0,62.7,2016-01-01
NER,Mizoram,82,1.0,1.3,2016-01-01
NER,Tripura,209,1.0,3.5,2016-01-01
SR,Pondy,288,0.0,5.9,2016-01-01
SR,Karnataka,8232,600.0,174.7,2016-01-01
SR,Kerala,3296,0.0,59.7,2016-01-01
SR,Tamil Nadu,11924,0.0,254.6,2016-01-01
NER,Nagaland,113,2.0,1.8,2016-01-01
ER,Bihar,3356,150.0,66.3,2016-01-01
ER,DVC,2489,0.0,51.8,2016-01-01
SR,Andhra Pradesh,6520,0.0,131.3,2016-01-01
ER,Jharkhand,1001,140.0,22.9,2016-01-01
ER,West Bengal,6281,-5.0,110.2,2016-01-01
NER,Arunachal Pradesh,105,2.0,1.8,2016-01-01
NER,Assam,1256,24.0,21.0,2016-01-01
NER,Manipur,165,3.0,2.8,2016-01-01
NER,Meghalaya,281,3.0,4.8,2016-01-01
NER,Mizoram,89,4.0,1.4,2016-01-01
ER,Odisha,3588,0.0,76.5,2016-01-01
WR,Essar steel,513,0.0,10.7,2016-01-01
SR,Telangana,6258,0.0,127.0,2016-01-01
WR,DD,239,0.0,5.5,2016-01-01
NR,Punjab,5013,0.0,94.3,2016-01-01
NR,Haryana,5919,0.0,111.4,2016-01-01
NR,Rajasthan,10256,0.0,222.2,2016-01-01
NR,Delhi,3768,0.0,62.3,2016-01-01
WR,DNH,631,0.0,14.5,2016-01-01
NR,Uttarakhand,1847,0.0,34.4,2016-01-01
NR,HP,1369,0.0,24.8,2016-01-01
NR,UP,10770,1055.0,237.0,2016-01-01
NR,Chandigarh,216,0.0,3.7,2016-01-01
WR,Chhattisgarh,3323,96.0,73.8,2016-01-01
WR,Gujarat,12762,13.0,273.3,2016-01-01
WR,MP,11019,0.0,221.0,2016-01-01
WR,Maharashtra,16999,15.0,352.4,2016-01-01
WR,Goa,392,0.0,7.8,2016-01-01
NR,J&K,2028,507.0,44.6,2016-01-01
WR,Chhattisgarh,3288,0.0,71.7,2018-01-01
WR,DD,246,0.0,5.6,2018-01-01
WR,Goa,421,0.0,9.2,2018-01-01
WR,Maharashtra,19226,0.0,386.5,2018-01-01
WR,MP,9951,0.0,223.0,2018-01-01
WR,Gujarat,13653,0.0,283.1,2018-01-01
NR,Chandigarh,217,0.0,3.5,2018-01-01
NER,Nagaland,110,4.0,2.4,2018-01-01
NR,HP,1501,0.0,26.5,2018-01-01
NR,Uttarakhand,1943,0.0,34.5,2018-01-01
NR,UP,14989,0.0,281.9,2018-01-01
NR,Delhi,3954,0.0,63.7,2018-01-01
NR,Rajasthan,10127,0.0,202.8,2018-01-01
NR,Haryana,6101,0.0,109.4,2018-01-01
NR,J&K,2294,574.0,46.7,2018-01-01
WR,DNH,670,0.0,15.9,2018-01-01
NER,Meghalaya,315,0.0,5.9,2018-01-01
SR,Andhra Pradesh,8193,0.0,153.6,2018-01-01
NER,Mizoram,109,6.0,1.7,2018-01-01
NER,Manipur,176,4.0,2.6,2018-01-01
NER,Assam,1340,29.0,21.3,2018-01-01
NER,Arunachal Pradesh,134,1.0,2.0,2018-01-01
ER,Sikkim,93,0.0,1.3,2018-01-01
ER,West Bengal,5556,0.0,87.3,2018-01-01
ER,Odisha,3723,0.0,68.6,2018-01-01
ER,Jharkhand,1157,0.0,23.8,2018-01-01
ER,DVC,3294,0.0,67.1,2018-01-01
ER,Bihar,3881,0.0,74.4,2018-01-01
SR,Pondy,305,0.0,5.9,2018-01-01
SR,Tamil Nadu,12719,0.0,277.3,2018-01-01
SR,Kerala,3353,0.0,64.0,2018-01-01
SR,Karnataka,9800,0.0,197.1,2018-01-01
SR,Telangana,9115,0.0,184.8,2018-01-01
WR,Essar steel,436,0.0,8.7,2018-01-01
NR,Punjab,5674,0.0,105.4,2018-01-01
NER,Tripura,220,4.0,3.3,2018-01-01
NER,Nagaland,119,0.0,2.1,2019-01-01
WR,Goa,462,0.0,9.0,2019-01-01
WR,Maharashtra,19364,0.0,385.7,2019-01-01
WR,MP,14002,0.0,257.8,2019-01-01
WR,Gujarat,14710,0.0,312.4,2019-01-01
WR,Chhattisgarh,3403,0.0,75.9,2019-01-01
NR,Chandigarh,240,0.0,3.8,2019-01-01
WR,DD,257,0.0,5.8,2019-01-01
NR,J&K,2486,621.0,51.6,2019-01-01
NR,Uttarakhand,2111,0.0,37.4,2019-01-01
NR,UP,14437,0.0,295.0,2019-01-01
NR,Delhi,4336,0.0,69.6,2019-01-01
NR,Rajasthan,12538,435.0,238.3,2019-01-01
NR,Haryana,6444,0.0,123.4,2019-01-01
NR,Punjab,5508,0.0,109.2,2019-01-01
NR,HP,1630,0.0,30.4,2019-01-01
WR,DNH,669,0.0,15.6,2019-01-01
WR,Essar steel,535,0.0,10.9,2019-01-01
SR,Andhra Pradesh,7915,0.0,155.6,2019-01-01
NER,Mizoram,88,0.0,1.6,2019-01-01
NER,Meghalaya,325,0.0,6.6,2019-01-01
NER,Manipur,197,0.0,2.7,2019-01-01
NER,Assam,1321,0.0,23.2,2019-01-01
NER,Arunachal Pradesh,121,0.0,2.3,2019-01-01
ER,Sikkim,91,0.0,1.3,2019-01-01
ER,West Bengal,5863,0.0,104.7,2019-01-01
ER,Odisha,3832,0.0,70.5,2019-01-01
ER,Jharkhand,1091,67.0,25.2,2019-01-01
ER,DVC,3101,0.0,66.4,2019-01-01
ER,Bihar,4139,0.0,77.6,2019-01-01
SR,Pondy,339,0.0,6.8,2019-01-01
SR,Tamil Nadu,13140,0.0,270.0,2019-01-01
SR,Kerala,3501,0.0,68.1,2019-01-01
SR,Telangana,8776,0.0,178.6,2019-01-01
NER,Tripura,224,0.0,3.5,2019-01-01
SR,Karnataka,10675,0.0,199.3,2019-01-01
NR,HP,1722,0.0,30.1,2020-01-01
NR,Punjab,6057,0.0,118.8,2020-01-01
NER,Nagaland,121,2.0,2.2,2020-01-01
NER,Mizoram,98,1.0,1.7,2020-01-01
NER,Meghalaya,379,0.0,6.3,2020-01-01
NER,Manipur,193,3.0,2.4,2020-01-01
NER,Assam,1264,16.0,21.7,2020-01-01
NER,Arunachal Pradesh,117,2.0,2.2,2020-01-01
ER,Sikkim,120,0.0,1.7,2020-01-01
ER,West Bengal,6009,0.0,106.8,2020-01-01
ER,Odisha,3620,0.0,66.3,2020-01-01
ER,Jharkhand,1281,0.0,26.3,2020-01-01
ER,DVC,3060,0.0,64.6,2020-01-01
ER,Bihar,4424,0.0,82.9,2020-01-01
SR,Pondy,317,0.0,6.4,2020-01-01
SR,Tamil Nadu,11770,0.0,270.3,2020-01-01
SR,Kerala,3560,0.0,73.4,2020-01-01
SR,Karnataka,11590,0.0,205.3,2020-01-01
SR,Telangana,10253,0.0,201.2,2020-01-01
NR,Delhi,5210,0.0,83.5,2020-01-01
NR,UP,16987,0.0,320.7,2020-01-01
NR,Uttarakhand,2114,0.0,38.1,2020-01-01
NR,J&K(UT) and Ladakh(UT),2792,698.0,53.2,2020-01-01
NR,Chandigarh,293,0.0,4.8,2020-01-01
WR,Chhattisgarh,3509,0.0,74.8,2020-01-01
NER,Tripura,220,0.0,3.5,2020-01-01
WR,Gujarat,14523,0.0,301.9,2020-01-01
WR,Maharashtra,19706,0.0,395.8,2020-01-01
WR,Goa,476,0.0,12.6,2020-01-01
WR,DD,263,0.0,5.8,2020-01-01
WR,DNH,728,0.0,16.7,2020-01-01
WR,Essar steel,277,0.0,5.5,2020-01-01
SR,Andhra Pradesh,8657,0.0,165.2,2020-01-01
WR,MP,13575,0.0,239.3,2020-01-01
NR,Rajasthan,13711,0.0,239.8,2020-01-01
NR,Haryana,6453,0.0,128.2,2020-01-01
NER,Manipur,215,1.0,3.0,2021-01-01
WR,Maharashtra,22156,0.0,442.4,2021-01-01
WR,MP,15425,0.0,295.4,2021-01-01
WR,Gujarat,16505,0.0,334.5,2021-01-01
WR,Chhattisgarh,4067,0.0,85.3,2021-01-01
NR,Chandigarh,285,0.0,4.5,2021-01-01
NR,J&K(UT) & Ladakh(UT),2754,550.0,57.6,2021-01-01
WR,Goa,490,0.0,10.3,2021-01-01
NR,HP,1859,0.0,33.2,2021-01-01
NR,UP,17642,0.0,313.6,2021-01-01
NR,Delhi,4918,1.0,77.0,2021-01-01
NER,Nagaland,130,1.0,2.3,2021-01-01
NR,Rajasthan,14088,0.0,264.4,2021-01-01
NR,Haryana,6270,0.0,127.8,2021-01-01
NR,Punjab,6516,0.0,124.3,2021-01-01
NR,Uttarakhand,2232,0.0,40.2,2021-01-01
NER,Meghalaya,333,0.0,6.7,2021-01-01
WR,DD,269,0.0,6.1,2021-01-01
WR,AMNSIL,838,0.0,17.8,2021-01-01
NER,Assam,1325,20.0,24.0,2021-01-01
NER,Arunachal Pradesh,131,1.0,2.2,2021-01-01
ER,Sikkim,105,0.0,1.8,2021-01-01
ER,West Bengal,5622,0.0,113.8,2021-01-01
ER,Odisha,3769,0.0,68.4,2021-01-01
ER,Jharkhand,1625,102.0,26.9,2021-01-01
WR,DNH,757,0.0,17.3,2021-01-01
ER,DVC,3033,0.0,65.5,2021-01-01
SR,Puducherry,332,0.0,6.5,2021-01-01
SR,Tamil Nadu,11864,0.0,246.3,2021-01-01
SR,Kerala,3459,0.0,68.7,2021-01-01
SR,Karnataka,11706,0.0,207.0,2021-01-01
SR,Telangana,11302,0.0,204.8,2021-01-01
SR,Andhra Pradesh,8804,0.0,156.4,2021-01-01
ER,Bihar,4582,0.0,87.7,2021-01-01
NER,Mizoram,104,1.0,1.6,2021-01-01
NER,Tripura,217,0.0,3.6,2021-01-01
NR,Haryana,6988,0.0,127.4,2022-01-01
WR,AMNSIL,758,0.0,15.5,2022-01-01
WR,DNH,766,0.0,17.6,2022-01-01
WR,DD,274,0.0,6.0,2022-01-01
WR,Goa,576,0.0,11.9,2022-01-01
WR,Maharashtra,22712,0.0,458.7,2022-01-01
WR,Gujarat,16595,219.0,346.5,2022-01-01
WR,Chhattisgarh,3540,0.0,76.1,2022-01-01
NR,Chandigarh,233,0.0,3.8,2022-01-01
NR,J&K(UT) & Ladakh(UT),2881,300.0,60.4,2022-01-01
NR,HP,1907,0.0,35.3,2022-01-01
NR,Uttarakhand,2239,0.0,40.2,2022-01-01
NR,UP,17953,0.0,318.2,2022-01-01
NR,Delhi,4470,0.0,70.5,2022-01-01
NR,Rajasthan,15034,0.0,267.5,2022-01-01
NR,Punjab,7182,0.0,131.6,2022-01-01
SR,Andhra Pradesh,9242,0.0,170.7,2022-01-01
SR,Telangana,11050,0.0,197.8,2022-01-01
WR,MP,14062,0.0,266.4,2022-01-01
SR,Kerala,3709,0.0,74.9,2022-01-01
SR,Karnataka,11404,0.0,201.0,2022-01-01
NER,Nagaland,130,0.0,2.3,2022-01-01
NER,Mizoram,112,0.0,1.9,2022-01-01
NER,Meghalaya,353,0.0,7.1,2022-01-01
NER,Manipur,222,0.0,3.3,2022-01-01
NER,Assam,1365,0.0,23.7,2022-01-01
NER,Arunachal Pradesh,133,0.0,2.4,2022-01-01
ER,Sikkim,96,0.0,1.5,2022-01-01
NER,Tripura,211,0.0,3.4,2022-01-01
ER,Odisha,5391,0.0,99.7,2022-01-01
ER,Jharkhand,1429,228.0,27.4,2022-01-01
ER,DVC,3162,91.0,66.3,2022-01-01
ER,Bihar,4487,0.0,82.8,2022-01-01
SR,Puducherry,318,0.0,6.5,2022-01-01
SR,Tamil Nadu,12620,0.0,253.9,2022-01-01
ER,West Bengal,5679,0.0,108.1,2022-01-01
SR,Kerala,3444,0.0,69.0,2023-01-01
SR,Tamil Nadu,13131,0.0,269.0,2023-01-01
SR,Puducherry,337,0.0,7.8,2023-01-01
ER,Bihar,4980,0.0,91.3,2023-01-01
ER,DVC,3446,0.0,71.3,2023-01-01
ER,Jharkhand,1562,189.0,28.5,2023-01-01
ER,Odisha,4629,0.0,89.5,2023-01-01
NER,Arunachal Pradesh,146,0.0,2.6,2023-01-01
ER,Sikkim,96,0.0,1.6,2023-01-01
NER,Assam,1343,0.0,24.5,2023-01-01
NER,Manipur,215,0.0,3.4,2023-01-01
NER,Meghalaya,341,0.0,7.2,2023-01-01
NER,Mizoram,130,0.0,2.1,2023-01-01
SR,Karnataka,12522,0.0,214.6,2023-01-01
ER,West Bengal,5797,0.0,111.9,2023-01-01
SR,Telangana,13629,0.0,222.3,2023-01-01
NER,Nagaland,133,0.0,2.0,2023-01-01
WR,BALCO,518,0.0,12.3,2023-01-01
NR,Haryana,6479,0.0,125.2,2023-01-01
NR,Rajasthan,16280,0.0,304.9,2023-01-01
NR,Delhi,4588,0.0,73.7,2023-01-01
NR,UP,17968,0.0,332.7,2023-01-01
NR,Uttarakhand,2135,150.0,41.3,2023-01-01
NR,HP,1901,0.0,34.0,2023-01-01
NR,J&K(UT) & Ladakh(UT),2833,0.0,63.0,2023-01-01
NR,Chandigarh,241,0.0,4.1,2023-01-01
WR,Chhattisgarh,4631,0.0,99.8,2023-01-01
WR,Gujarat,18088,0.0,356.9,2023-01-01
WR,MP,16360,0.0,310.2,2023-01-01
WR,Maharashtra,25161,0.0,506.8,2023-01-01
WR,Goa,591,0.0,12.1,2023-01-01
WR,DNHDDPDCL,1086,0.0,24.7,2023-01-01
WR,AMNSIL,807,0.0,17.1,2023-01-01
SR,Andhra Pradesh,10432,0.0,190.8,2023-01-01
NR,Punjab,7484,0.0,140.0,2023-01-01
NER,Tripura,213,0.0,3.7,2023-01-01
ER,Jharkhand,886,52.0,20.5,2014-02-01
NR,Rajasthan,9106,0.0,186.6,2014-02-01
NR,Delhi,3593,5.0,63.5,2014-02-01
NR,UP,10054,2115.0,223.1,2014-02-01
NR,Uttarakhand,1751,75.0,33.4,2014-02-01
NR,HP,1384,0.0,25.0,2014-02-01
NR,J&K,1940,100.0,41.2,2014-02-01
NR,Chandigarh,211,0.0,3.6,2014-02-01
WR,Chhattisgarh,3122,34.0,68.3,2014-02-01
WR,Gujarat,10976,23.0,243.7,2014-02-01
WR,Maharashtra,17361,278.0,364.8,2014-02-01
WR,Goa,402,1.0,7.9,2014-02-01
WR,DD,233,1.0,5.8,2014-02-01
WR,DNH,597,2.0,14.0,2014-02-01
WR,Essar steel,423,1.0,8.8,2014-02-01
SR,Andhra Pradesh,11215,400.0,258.5,2014-02-01
SR,Karnataka,8470,500.0,184.4,2014-02-01
SR,Kerala,3213,150.0,61.3,2014-02-01
NER,Tripura,197,0.0,2.8,2014-02-01
NER,Nagaland,99,1.0,1.6,2014-02-01
NER,Mizoram,75,1.0,1.1,2014-02-01
NER,Meghalaya,283,2.0,4.8,2014-02-01
NER,Manipur,121,4.0,1.5,2014-02-01
NER,Assam,895,281.0,15.1,2014-02-01
NR,Haryana,5685,0.0,105.6,2014-02-01
NER,Arunachal Pradesh,115,5.0,1.5,2014-02-01
ER,West Bengal,6012,0.0,109.5,2014-02-01
ER,Odisha,3554,0.0,65.4,2014-02-01
ER,DVC,2564,0.0,57.4,2014-02-01
ER,Bihar,2075,0.0,43.7,2014-02-01
SR,Pondy,298,0.0,6.0,2014-02-01
SR,Tamil Nadu,12037,866.0,258.1,2014-02-01
ER,Sikkim,82,0.0,1.2,2014-02-01
NR,Punjab,4698,0.0,89.0,2014-02-01
WR,MP,7748,24.0,150.7,2014-02-01
NER,Tripura,195,1.0,2.6,2015-02-01
WR,DD,244,0.0,5.6,2015-02-01
WR,Goa,331,0.0,7.0,2015-02-01
WR,Maharashtra,17644,187.0,359.4,2015-02-01
WR,MP,8217,0.0,156.8,2015-02-01
WR,Gujarat,11571,0.0,245.4,2015-02-01
WR,Chhattisgarh,3143,96.0,71.6,2015-02-01
NR,Chandigarh,203,0.0,3.4,2015-02-01
NER,Nagaland,118,2.0,2.4,2015-02-01
NR,HP,1285,0.0,24.3,2015-02-01
NR,Uttarakhand,1878,0.0,36.0,2015-02-01
NR,UP,10353,1850.0,227.1,2015-02-01
NR,Delhi,3693,5.0,54.8,2015-02-01
NR,Rajasthan,10067,0.0,200.4,2015-02-01
NR,Haryana,5979,0.0,113.5,2015-02-01
NR,Punjab,4680,0.0,92.1,2015-02-01
WR,DNH,614,0.0,14.8,2015-02-01
WR,Essar steel,297,0.0,5.0,2015-02-01
NR,J&K,1956,345.0,42.8,2015-02-01
SR,Telangana,5928,300.0,127.4,2015-02-01
NER,Mizoram,81,1.0,1.3,2015-02-01
SR,Andhra Pradesh,6274,0.0,138.1,2015-02-01
NER,Meghalaya,318,2.0,5.1,2015-02-01
NER,Manipur,132,3.0,2.1,2015-02-01
NER,Assam,1152,58.0,20.4,2015-02-01
ER,Sikkim,74,0.0,1.3,2015-02-01
ER,West Bengal,5863,0.0,100.7,2015-02-01
ER,Odisha,3354,0.0,65.0,2015-02-01
NER,Arunachal Pradesh,112,3.0,1.8,2015-02-01
ER,DVC,2430,0.0,55.7,2015-02-01
ER,Bihar,2845,0.0,56.7,2015-02-01
SR,Karnataka,8600,400.0,178.3,2015-02-01
SR,Pondy,272,0.0,5.5,2015-02-01
SR,Tamil Nadu,11376,737.0,246.5,2015-02-01
ER,Jharkhand,1023,0.0,21.9,2015-02-01
SR,Kerala,3146,0.0,56.9,2015-02-01
SR,Karnataka,9054,500.0,191.8,2016-02-01
SR,Telangana,6142,0.0,134.4,2016-02-01
SR,Andhra Pradesh,6705,0.0,135.3,2016-02-01
WR,DNH,685,0.0,15.9,2016-02-01
WR,DD,278,0.0,6.3,2016-02-01
WR,Maharashtra,18505,7.0,387.9,2016-02-01
SR,Kerala,3407,0.0,61.8,2016-02-01
WR,Goa,441,0.0,9.1,2016-02-01
WR,Essar steel,335,0.0,6.8,2016-02-01
SR,Tamil Nadu,12963,0.0,273.5,2016-02-01
NER,Arunachal Pradesh,111,3.0,1.9,2016-02-01
NER,Tripura,215,2.0,3.2,2016-02-01
NER,Nagaland,107,3.0,2.1,2016-02-01
NER,Mizoram,92,2.0,1.4,2016-02-01
NER,Meghalaya,340,2.0,5.4,2016-02-01
NER,Manipur,151,3.0,2.3,2016-02-01
NER,Assam,1332,30.0,22.5,2016-02-01
ER,Sikkim,102,0.0,1.3,2016-02-01
ER,West Bengal,6460,0.0,114.3,2016-02-01
ER,Odisha,3911,0.0,68.7,2016-02-01
ER,Jharkhand,934,-50.0,20.8,2016-02-01
WR,MP,10081,0.0,201.9,2016-02-01
SR,Pondy,286,0.0,5.7,2016-02-01
WR,Gujarat,12777,0.0,277.3,2016-02-01
NR,Haryana,6370,0.0,117.0,2016-02-01
NR,Chandigarh,220,0.0,3.7,2016-02-01
ER,DVC,2619,0.0,56.8,2016-02-01
WR,Chhattisgarh,3343,96.0,76.2,2016-02-01
NR,Punjab,4954,0.0,93.6,2016-02-01
NR,Rajasthan,10117,0.0,218.7,2016-02-01
ER,Bihar,3293,0.0,64.4,2016-02-01
NR,UP,10552,1980.0,233.9,2016-02-01
NR,Uttarakhand,1858,0.0,34.2,2016-02-01
NR,J&K,2031,508.0,44.1,2016-02-01
NR,HP,1428,0.0,25.5,2016-02-01
NR,Delhi,3555,0.0,62.4,2016-02-01
SR,Kerala,3540,0.0,68.2,2017-02-01
SR,Tamil Nadu,12518,0.0,267.5,2017-02-01
SR,Pondy,307,0.0,6.2,2017-02-01
ER,Bihar,3498,0.0,65.4,2017-02-01
ER,DVC,2946,0.0,64.2,2017-02-01
ER,Odisha,3733,0.0,69.8,2017-02-01
ER,West Bengal,6727,0.0,108.2,2017-02-01
ER,Sikkim,83,0.0,1.4,2017-02-01
NER,Assam,1382,4.0,21.5,2017-02-01
NER,Manipur,141,3.0,2.2,2017-02-01
NER,Meghalaya,297,0.0,5.4,2017-02-01
NER,Mizoram,89,1.0,1.5,2017-02-01
ER,Jharkhand,1062,0.0,23.8,2017-02-01
NER,Arunachal Pradesh,118,4.0,2.0,2017-02-01
ER,Odisha,3983,0.0,67.6,2017-02-01
NER,Tripura,207,1.0,3.7,2017-02-01
SR,Kerala,3591,0.0,68.6,2017-02-01
SR,Tamil Nadu,12444,0.0,264.0,2017-02-01
SR,Pondy,304,0.0,6.0,2017-02-01
ER,Bihar,3502,100.0,61.8,2017-02-01
ER,DVC,3039,0.0,64.3,2017-02-01
ER,Jharkhand,1104,0.0,23.3,2017-02-01
SR,Karnataka,9475,0.0,208.1,2017-02-01
ER,West Bengal,6959,0.0,110.8,2017-02-01
ER,Sikkim,82,0.0,1.1,2017-02-01
NER,Arunachal Pradesh,91,3.0,2.1,2017-02-01
NER,Assam,1364,0.0,21.8,2017-02-01
NER,Manipur,160,2.0,2.3,2017-02-01
NER,Meghalaya,285,0.0,5.8,2017-02-01
NER,Mizoram,85,1.0,1.5,2017-02-01
NER,Nagaland,97,3.0,2.1,2017-02-01
SR,Karnataka,9392,0.0,208.3,2017-02-01
SR,Telangana,8123,0.0,164.8,2017-02-01
SR,Andhra Pradesh,7307,0.0,152.5,2017-02-01
WR,Essar steel,483,0.0,10.2,2017-02-01
NR,Punjab,4976,0.0,92.2,2017-02-01
NR,Haryana,6090,336.0,100.9,2017-02-01
NR,Rajasthan,9631,40.0,202.0,2017-02-01
NR,Delhi,3712,0.0,63.6,2017-02-01
NR,UP,12017,240.0,261.3,2017-02-01
NR,Uttarakhand,1960,0.0,35.1,2017-02-01
NR,HP,1418,0.0,25.0,2017-02-01
NER,Nagaland,110,0.0,1.9,2017-02-01
NR,J&K,2053,513.0,44.0,2017-02-01
WR,Chhattisgarh,3263,0.0,74.8,2017-02-01
WR,Gujarat,13127,0.0,285.7,2017-02-01
WR,MP,9696,0.0,201.6,2017-02-01
WR,Maharashtra,20954,0.0,434.0,2017-02-01
WR,Goa,515,0.0,9.9,2017-02-01
WR,DD,305,0.0,6.8,2017-02-01
WR,DNH,707,0.0,16.5,2017-02-01
NR,Chandigarh,218,0.0,3.6,2017-02-01
SR,Telangana,8233,0.0,165.8,2017-02-01
NER,Tripura,213,1.0,3.6,2017-02-01
WR,Essar steel,450,0.0,9.4,2017-02-01
NR,Punjab,4862,0.0,92.0,2017-02-01
NR,Haryana,5723,191.0,104.3,2017-02-01
NR,Rajasthan,9766,73.0,200.8,2017-02-01
NR,Delhi,3784,0.0,63.9,2017-02-01
NR,UP,11782,0.0,261.3,2017-02-01
NR,Uttarakhand,1965,0.0,35.0,2017-02-01
NR,HP,1332,0.0,25.4,2017-02-01
NR,J&K,2265,566.0,44.5,2017-02-01
SR,Andhra Pradesh,7477,0.0,159.7,2017-02-01
WR,Chhattisgarh,3277,0.0,73.9,2017-02-01
WR,Gujarat,12912,0.0,281.2,2017-02-01
WR,MP,9665,0.0,202.7,2017-02-01
WR,Maharashtra,20251,0.0,429.8,2017-02-01
WR,Goa,445,0.0,9.6,2017-02-01
WR,DD,290,0.0,6.7,2017-02-01
WR,DNH,717,0.0,16.3,2017-02-01
NR,Chandigarh,217,0.0,3.6,2017-02-01
SR,Tamil Nadu,14188,0.0,286.5,2018-02-01
SR,Pondy,328,0.0,6.5,2018-02-01
ER,Bihar,3830,0.0,66.7,2018-02-01
ER,DVC,3083,0.0,67.7,2018-02-01
ER,Jharkhand,1288,0.0,22.9,2018-02-01
ER,Odisha,4131,0.0,73.9,2018-02-01
NER,Assam,1438,9.0,23.7,2018-02-01
ER,Sikkim,110,0.0,2.0,2018-02-01
NER,Arunachal Pradesh,125,3.0,2.4,2018-02-01
SR,Kerala,3362,0.0,67.1,2018-02-01
NER,Manipur,190,1.0,2.8,2018-02-01
NER,Meghalaya,325,0.0,5.8,2018-02-01
NER,Mizoram,96,1.0,1.8,2018-02-01
NER,Nagaland,118,2.0,2.0,2018-02-01
ER,West Bengal,6779,0.0,123.2,2018-02-01
SR,Karnataka,9758,0.0,207.9,2018-02-01
WR,DNH,733,0.0,17.4,2018-02-01
SR,Andhra Pradesh,8227,0.0,163.6,2018-02-01
NR,Punjab,5343,0.0,105.8,2018-02-01
NR,Haryana,6532,122.0,121.5,2018-02-01
NR,Rajasthan,9953,2663.0,208.2,2018-02-01
NR,Delhi,3707,0.0,64.8,2018-02-01
NR,UP,14203,780.0,296.1,2018-02-01
NR,Uttarakhand,1987,0.0,35.2,2018-02-01
